"","interation","score.i","length.i","seq.length1","seq.length2"
"932",932,23,8,191,191
"933",933,25,48,191,191
"934",934,31,24,191,191
"935",935,36,40,191,191
"936",936,29,24,191,191
"937",937,30,18,191,191
"938",938,29,20,191,191
"939",939,24,30,191,191
"940",940,29,32,191,191
"941",941,33,10,191,191
"942",942,23,16,191,191
"943",943,24,24,191,191
"944",944,26,22,191,191
"945",945,31,21,191,191
"946",946,27,16,191,191
"947",947,25,18,191,191
"948",948,27,23,191,191
"949",949,26,16,191,191
"950",950,23,12,191,191
"951",951,25,21,191,191
"952",952,28,49,191,191
"953",953,27,16,191,191
"954",954,33,34,191,191
"955",955,25,28,191,191
"956",956,32,12,191,191
"957",957,25,27,191,191
"958",958,30,12,191,191
"959",959,33,25,191,191
"960",960,24,12,191,191
"961",961,28,16,191,191
"962",962,25,18,191,191
"963",963,33,7,191,191
"964",964,40,21,191,191
"965",965,26,16,191,191
"966",966,29,12,191,191
"967",967,24,9,191,191
"968",968,28,24,191,191
"969",969,28,19,191,191
"970",970,24,23,191,191
"971",971,27,50,191,191
"972",972,23,13,191,191
"973",973,23,17,191,191
"974",974,27,56,191,191
"975",975,32,30,191,191
"976",976,28,15,191,191
"977",977,39,41,191,191
"978",978,27,20,191,191
"979",979,31,9,191,191
"980",980,24,21,191,191
"981",981,29,41,191,191
"982",982,26,12,191,191
"983",983,25,25,191,191
"984",984,32,11,191,191
"985",985,26,11,191,191
"986",986,26,10,191,191
"987",987,42,23,191,191
"988",988,27,11,191,191
"989",989,27,12,191,191
"990",990,26,23,191,191
"991",991,27,8,191,191
"992",992,27,68,191,191
"993",993,23,19,191,191
"994",994,32,26,191,191
"995",995,26,8,191,191
"996",996,33,42,191,191
"997",997,25,15,191,191
"998",998,30,34,191,191
"999",999,28,10,191,191
"1000",1000,27,10,191,191
